SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,dTOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,RANGE,runningTotal
AUTOIND,BE,24.3,25.0,24.3,25.0,25.0,25.15,753,18594.55,0020-01-29,18,INE718H01014,0.6999999999999993,0.6999999999999993,
AUTOLITIND,EQ,26.5,26.5,24.15,24.8,25.25,25.85,12754,319155.2,0020-01-29,196,INE448A01013,2.3500000000000014,2.3500000000000014,
AVADHSUGAR,EQ,298.6,314.35,298.0,306.8,305.95,295.8,278337,8.58515878E7,0020-01-29,6664,INE349W01017,16.350000000000023,16.350000000000023,
AVANTIFEED,EQ,675.55,681.9,664.1,670.05,670.0,669.55,460009,3.101105734E8,0020-01-29,14149,INE871C01038,17.799999999999955,17.799999999999955,
AVG,SM,82.0,82.0,82.0,82.0,82.0,75.0,1200,98400.0,0020-01-29,1,INE680Z01018,0.0,0.0,
AVROIND,SM,54.8,54.8,54.8,54.8,54.8,51.45,8000,438400.0,0020-01-29,2,INE652Z01017,0.0,0.0,
AVTNPL,EQ,37.0,38.25,36.5,36.75,36.5,36.95,101905,3812070.05,0020-01-29,891,INE488D01021,1.75,1.75,
AXISBANK,EQ,740.0,745.5,733.55,735.25,735.5,737.15,7985274,5.905850444E9,0020-01-29,120322,INE238A01034,11.950000000000045,11.950000000000045,
AXISCADES,EQ,72.9,73.5,67.6,68.45,68.0,71.5,102155,7159795.6,0020-01-29,1862,INE555B01013,5.900000000000006,5.900000000000006,
AXISGOLD,EQ,3538.0,3538.0,3501.35,3531.9,3524.0,3544.05,176,620475.75,0020-01-29,72,INF846K01347,36.65000000000009,36.65000000000009,
AXISNIFTY,EQ,1255.01,1258.52,1244.93,1244.93,1244.93,1249.72,381,475545.97,0020-01-29,15,INF846K01ZL0,13.589999999999918,13.589999999999918,
AYMSYNTEX,EQ,35.2,35.2,33.15,34.05,33.15,34.6,3423,117700.2,0020-01-29,75,INE193B01039,2.0500000000000043,2.0500000000000043,
BAGFILMS,BE,1.85,1.9,1.8,1.8,1.85,1.85,34029,63202.55,0020-01-29,68,INE116D01028,0.09999999999999987,0.09999999999999987,
BAJAJ-AUTO,EQ,3079.0,3099.0,3060.0,3091.85,3094.75,3060.9,243945,7.531356188E8,0020-01-29,24785,INE917I01010,39.0,39.0,
BAJAJCON,EQ,230.5,232.5,226.5,227.8,227.75,228.9,200295,4.58146894E7,0020-01-29,3673,INE933K01021,6.0,6.0,
BAJAJELEC,EQ,385.0,392.0,380.65,383.1,382.0,384.2,89928,3.47301745E7,0020-01-29,3257,INE193E01025,11.350000000000023,11.350000000000023,
BAJAJFINSV,EQ,9649.0,9929.0,9649.0,9894.25,9924.0,9631.3,501913,4.922531177E9,0020-01-29,64178,INE918I01018,280.0,280.0,
BAJAJHIND,EQ,6.5,6.7,6.4,6.45,6.5,6.4,1297333,8473405.3,0020-01-29,1410,INE306A01021,0.2999999999999998,0.2999999999999998,
BAJAJHLDNG,EQ,3279.0,3428.0,3260.0,3417.3,3407.0,3264.55,119568,3.966882979E8,0020-01-29,9572,INE118A01012,168.0,168.0,
BAJFINANCE,EQ,4244.9,4444.0,4215.1,4419.0,4426.2,4213.0,4581413,1.9841640617E10,0020-01-29,243602,INE296A01024,228.89999999999964,228.89999999999964,
BALAJITELE,EQ,53.05,56.0,52.7,55.25,55.5,52.6,193538,1.064700675E7,0020-01-29,1006,INE794B01026,3.299999999999997,3.299999999999997,
BALAMINES,EQ,467.0,476.3,463.05,471.85,472.45,458.55,55123,2.591509295E7,0020-01-29,2617,INE050E01027,13.25,13.25,
BALAXI,EQ,71.05,79.0,69.9,73.05,79.0,72.85,2142,155151.65,0020-01-29,82,INE618N01014,9.099999999999994,9.099999999999994,
BALKRISHNA,BE,18.25,18.25,17.7,18.0,18.25,17.4,636,11336.05,0020-01-29,14,INE875R01011,0.5500000000000007,0.5500000000000007,
BALKRISIND,EQ,1086.4,1103.0,1075.8,1084.25,1085.0,1081.05,402633,4.392150802E8,0020-01-29,12192,INE787D01026,27.200000000000045,27.200000000000045,
